REP	10880	364	658	678	AG0004	AG006	BR0026	CD0142	CL0026	CL3.6.7	E-TZA-21-	E-TZA-70	E-UGD-47	GY0040	JUM1	KA2-1-1	KE491	MC0016	Nich-2-3-2	Nich-2-7-4	NP0041	Sar-2-20-1	Sar-AD3-5	TN0001	TN0002	TN0090	US0031	US0041	US0098	VO104	VO108	VO113
r1	0.1607905625035767	0.03635075366479391	0.016397411105296675	0.014900071173845116	0.008470152853796398	0.013435124664551202	0.010800323346403698	0.009926533141621743	0.025736754759809684	0.0210853891882842	0.04845845754493198	0.06946181941911626	0.23519164132720186	0.015943854911451595	0.03560799539430143	0.010137390819695481	0.03608142566550717	0.017375493277403578	0.0030949459230314447	0.008811730965873723	0.02797941947522518	0.004954800621881002	0.011830271527414107	0.15552174493535592	0.07562392960476941	0.1596474757249371	0.08417511961516723	0.10370933393090809	0.017115249032402576	0.21336607828548923	0.08158371517993647	0.1193998768623168
r2	0.23157058570386937	0.011822427534869985	0.014264476765493249	0.007057358684203525	0.006572790232909242	0.0072150778501448316	0.009619174758309597	0.017206629222203066	0.021271453095168993	0.015028835829258035	0.0703640482492257	0.07500702247167974	0.29736603378934057	0.006954742389770287	0.24208065719204164	0.022642117152676604	0.10706469011681134	0.007846262543912186	0.01577183775525871	0.014277679790402708	0.017727008604797954	0.013709467190553317	0.013368847552631092	0.09603650495750736	0.08322310020554223	0.08361430963230478	0.23270953070415093	0.01651035438017127	0.008288302405436923	0.20686940810348853	0.17716290428301096	0.22334093327843083
r3	0.09974080395987409	0.003277008472991583	0.004400062272353758	0.0031159461126392916	0.0033131998780131055	0.003006254658693041	0.003960522337154722	0.004740631929028651	0.0067676816737783	0.003071544435541625	0.004470234247512393	0.006310485915018366	0.007383268343557482	0.004190445595591062	0.2358059467671429	0.003136052603917301	0.005197830850211761	0.0022527579673497374	0.0023929825675915763	0.004593854989292982	0.009944511312468478	0.0034980723415821906	0.0025836099736284675	0.0038236843263905287	0.0038236843263905287	0.0041883836870935795	0.06816884681623638	0.0036472123218501316	0.0020431847795613824	0.010056539028719036	0.07327232506489247	0.08592445396967431
r4	0.23151452546753562	0.014473897158666356	0.012688226612804082	0.0013357087195536863	0.0011113955303083194	0.0017141870403292354	0.009617703532263464	0.012949958322700116	0.021507448177125358	0.029768304868076374	0.005247822288337159	0.0035454810856570874	0.01530134055064977	0.0037964386230288204	0.04446255795175981	0.01598152504199592	0.005313894861094792	0.005502374667886157	0.005563379611832778	0.004438285099181174	0.02894402619000856	0.018938024505335223	0.005661099471503298	0.0006671485655650703	0.0026825060600993065	0.001560100826170033	0.0700435759121876	0.018468954202893063	0.009082930442614351	0.0031484369941143656	0.10281467026005091	0.10718769515900396
r5	0.12179424300849907	0.027309877706271815	0.05017409509154254	0.024168569271950966	0.023854850913119723	0.025276971350719928	0.0523727985253842	0.05415198646676736	0.04541689532110027	0.0016765789520269334	0.03263944031790597	0.03153358350792288	0.035272411928278416	0.02435923537478866	0.0846834502079505	0.06157430389967644	0.03899791311762939	0.04201719469283416	0.026914696226477675	0.024391822146175118	0.045917686195728405	0.04036860585025553	0.0347997065813378	0.024088290896739598	0.025657031386055497	0.02690319072514836	0.3541128045618509	0.047589353585592825	0.04427906946161425	0.03629330732568531	0.30851587447572887	0.32623329471191276
r6	0.04281866992135054	0.04978096389352407	0.06605625548587438	0.052093469057033104	0.04171532108587766	0.05128159971226421	0.03671969391121502	0.04263979207924072	0.051266566053125164	0.056291347946496526	0.055915817895917534	0.05572805480679577	0.05706372273168404	0.042972620392839	0.24113055047815024	0.04472971810454215	0.05612405008817479	0.054133371897156626	0.03751547493248426	0.039350915314478485	0.16634040250391485	0.04334813350685049	0.04549523624061162	0.05067746574077293	0.06503231561361043	0.05548971122679615	0.6164429605228163	0.05065395402140428	0.05868107491321966	0.05305057116412661	0.42722966088414654	0.7217776315898542
r7	0.0031060842801993215	0.006335061567138253	0.020610037039326432	0.0044914036494142886	0.0024123808112320815	0.0025315179437284136	0.0034092282682408235	0.002297428085303369	0.010125376211004056	0.01999759969553483	0.004272989272625027	0.004377532445947689	0.007968115093876354	0.024342969599107304	0.34358770990449267	0.002528027166513475	0.0030220027196570564	0.003039667924940122	0.005529294097483523	0.005760527008022317	0.3344053833990061	0.014986194016580905	0.01712797979095207	0.003103615994155653	0.002757923326712335	0.0036792315505875103	0.11755492083565075	0.011691338555122386	0.002219203083443135	0.005294492441359287	0.17060078514153093	0.15955085857533205
r8	0.004411625936777417	0.013162618789543033	0.007761627619644064	0.007393467135087273	0.0033320393802926027	0.002745646205178833	0.003284931422039232	0.004406170912785338	0.015481620169151541	0.017622956435019026	0.005877071718131388	0.005253182269054957	0.023537578649482936	0.0038103991234917393	0.09777567273901343	0.0064522146594725854	0.004965177112599794	0.0032349642667001566	0.00513065398659109	0.005250218503776426	0.09969174329236685	0.007890653664347692	0.003460243471809345	0.004280900880345766	0.0034465058745162544	0.0041653832693430756	0.020443262137858156	0.005235225997202485	0.0031027865598560293	0.004764318109690197	0.026417211860879426	0.025192705237289465
r9	0.008988866652044505	0.016735703691978732	0.009454847719498744	0.006816551598431766	0.002729046735927013	0.002936968981807363	0.004317708192970466	0.007381429416518316	0.009068274457583923	0.006087240946965485	0.006127216341684853	0.006538568925173092	0.005568485872210847	0.002553137295496479	0.1939881051646718	0.01061653716742226	0.006744976246114459	0.002940643555134659	0.0021692840401276903	0.002658779329091208	0.17410489604880217	0.0025005049664996296	0.026428328289843803	0.0069807352978279264	0.005978321158210921	0.0056521268236073815	0.2301474817038099	0.010898615824943551	0.002941229771663142	0.005798729587567426	0.16259377616833273	0.16881888998592173
r10	0.007769725585194201	0.0033552055138377727	0.0030243722597213165	0.0031752473397380896	0.0027231534785729346	0.003001588793105182	0.004671081049346454	0.007757018262091799	0.008702069219338195	0.00514619610828812	0.005330112506443546	0.003688989696984719	0.014095506345278895	0.002882744016788861	0.045290001028280416	0.007266415578385896	0.0048762976820356544	0.003914317478055743	0.006958078716166816	0.0069525085138116395	0.026032796019790954	0.10208705185248926	0.0095311363806922	0.0028753105872034723	0.0028761811068649906	0.0028831642862924543	0.1309596692756837	0.0044053835172352795	0.008409227182923022	0.003042777298094085	0.1660676721431404	0.1800531712328808
