REP	10880	364	658	678	AG0004	AG006	BR0026	CD0142	CL0026	CL3.6.7	E-TZA-21-	E-TZA-70	E-UGD-47	GY0040	JUM1	KA2-1-1	KE491	MC0016	Nich-2-3-2	Nich-2-7-4	NP0041	Sar-2-20-1	Sar-AD3-5	TN0001	TN0002	TN0090	US0031	US0041	US0098	VO104	VO108	VO113
mChrA	2459	1273	1557	1042	723	873	679	1188	1319	1120	1337	1431	2918	1029	5547	1279	1077	850	815	883	2139	1388	1686	1386	1420	1453	3339	1338	917	1722	6839	7077
r1	13090	11965	10863	11977	13692	13719	13446	12756	11982	11931	12713	12651	13693	11904	12465	12581	12427	13679	13043	13087	11263	11414	12913	12556	12554	12565	11668	12445	13601	12562	12734	11797
r2	12513	11435	10333	11449	13111	13137	12876	12086	11440	11405	12142	12055	13120	11376	11880	11905	11848	13099	12386	12442	10735	10884	12248	11972	11971	11988	11094	11863	13018	11887	12156	11220
r3	7508	6802	5428	6582	7631	7596	7415	7147	6727	6691	7358	7329	7585	6483	6971	7002	7360	7546	7295	7361	6440	6737	7294	7475	7341	7472	6661	7212	7460	6980	7540	6792
r4	4548	4391	4402	4398	4428	4394	4317	4386	4335	4340	4516	4557	4430	4383	4431	4406	4442	4381	4539	4544	4334	4370	4531	4552	4563	4560	4396	4425	4377	4401	4439	4441
r5	5531	5378	5390	5388	5402	5175	5283	5370	5330	5332	5486	5541	5417	5370	5260	5390	5433	5358	5514	5528	5335	5231	5475	5537	5548	5544	5378	5408	5354	5007	5396	5390
r6	7044	6966	6892	6969	6978	6588	6865	6953	6940	6944	7048	7118	6999	6956	6743	6972	7038	6906	7006	7046	6817	6757	6969	7112	7125	7121	6619	6980	6926	6286	6661	6583
r7	9557	9624	9559	9641	9667	9222	9410	9604	9496	9505	9584	9643	9658	9493	9309	9615	9327	9498	9508	9553	9403	9296	9478	9671	9676	9671	8981	9328	9516	8967	8782	9070
r8	14024	13798	13278	13139	14081	13607	13631	13819	13417	13057	13598	13670	14149	13692	13654	13888	13141	13802	13399	13472	13292	13044	13350	13611	13625	13612	13226	13727	13806	13369	13080	13471
r9	14494	14271	13758	13619	14548	14075	14086	14275	13887	13536	14072	14145	14631	14164	14126	14348	13617	14271	13869	13941	13771	13525	13810	14082	14093	14087	13696	14200	14272	13836	13552	13942
r10	14437	14340	13818	13657	14622	14132	14093	14234	13839	13500	14028	14093	14707	14231	14080	14366	13496	14285	13894	13965	13663	13566	13839	14018	14030	14042	13637	14167	14289	13857	13631	14012
r11	11039	10849	10404	10162	11143	11052	10693	10787	10404	10053	10576	10616	11217	10862	10971	10922	10283	10917	10537	10567	10323	10375	10512	10535	10546	10556	10793	10813	10902	11064	10653	11141
r12	10075	9884	9442	9199	10177	10092	9753	9831	9441	9094	9621	9651	10259	9899	10005	9965	9312	9952	9573	9603	9360	9417	9545	9565	9576	9585	9830	9847	9940	10108	9692	10180
r13	8349	8153	7709	7469	8432	8375	8082	8102	7763	7414	7908	7937	8522	8171	8264	8248	7628	8257	7856	7882	7677	7691	7828	7839	7848	7860	8140	8328	8246	8380	8445	8433
r14	4534	4560	4556	4559	4541	4530	4478	4541	4564	4560	4528	4546	4549	4562	4545	4544	4548	4554	4534	4534	4559	4556	4536	4549	4550	4549	4553	4548	4556	4547	4550	4552
r15	9313	9113	9069	9051	9609	9537	9448	9422	9009	9011	9199	9311	9591	8773	9268	9122	9206	9600	9200	9248	8958	9005	9191	8766	9242	9225	9181	8763	9490	9375	9289	9238
r16	9450	9253	9208	9190	9747	9677	9584	9558	9150	9149	9340	9451	9729	8913	9404	9258	9347	9738	9337	9385	9096	9144	9328	8907	9383	9366	9320	8899	9628	9511	9428	9377
r17	9634	9555	9574	9676	9603	9812	9132	9323	9280	9292	9291	9271	9858	9754	9600	9143	8794	9446	9692	9725	9464	9788	9702	9271	9211	9285	8283	9311	8833	9175	8982	8845
r18	10278	10012	10052	10167	10289	10411	9245	9974	9480	9484	9887	9931	10542	10499	10370	9781	8844	9579	10240	10261	9583	10347	10170	9864	9820	9863	8838	9885	9103	9894	9781	9629
r19	8661	8894	8895	8891	8884	8507	8780	8879	8898	8892	8783	8857	8894	8898	8684	8883	8848	8882	8641	8667	8898	8796	8610	8841	8839	8840	8897	8848	8884	8489	8882	8839
r20	4900	4888	4882	4880	4879	4849	4810	4888	4888	4879	4854	4874	4884	4887	4828	4894	4871	4877	4899	4897	4889	4877	4897	4874	4875	4874	4882	4858	4879	4825	4869	4860
r21	4513	4504	4497	4497	4498	4492	4430	4508	4504	4497	4470	4489	4502	4501	4482	4514	4489	4496	4515	4512	4505	4504	4517	4491	4492	4490	4495	4477	4501	4502	4494	4494
r22	3981	3976	3968	3969	3968	3960	3899	3976	3974	3969	3942	3960	3972	3971	3949	3981	3960	3966	3984	3981	3976	3976	3987	3961	3964	3961	3963	3946	3970	3971	3963	3962
r23	5364	5803	5790	5805	5918	5901	5798	5869	5794	5802	5845	5900	5897	5807	5780	5870	5899	5916	5363	5359	5808	5801	5375	5919	5917	5908	5610	5770	5917	5883	5655	5628
r24	6403	6854	6811	6831	6944	6928	6794	6905	6784	6795	6826	6898	6942	6833	6817	6907	6894	6927	6388	6387	6808	6779	6406	6931	6921	6914	6609	6821	6929	6914	6690	6657
r25	10636	11237	11376	11439	11489	11356	7033	11379	10382	8232	11120	11305	11567	9789	11386	11393	10442	10337	7300	7409	10440	8194	7478	11255	11286	11487	9569	10964	10366	11307	10748	10609
r26	11773	12373	12736	12709	12838	12616	6781	12292	10735	8374	11988	12281	12919	10741	12599	12300	10723	10821	7678	7911	10865	8525	7742	12288	12325	12547	9793	12147	10877	12264	11746	11591
r27	11019	11112	11637	11571	11538	11149	3543	10302	8562	5363	10015	10418	11399	8798	11181	10288	8003	8558	5388	5798	8353	5919	5301	10462	10553	10786	7185	10359	8620	10307	9983	9876
r28	10136	10203	10659	10594	10560	10266	4399	9472	7889	5477	9163	9535	10351	8540	10198	9404	7417	7885	6140	6528	7814	6612	5947	9553	9634	9847	6654	9491	7948	9504	9172	9057
r29	7931	7839	8203	8127	8110	7837	4563	7046	6111	5174	6888	7183	7885	7040	7854	6998	5686	6342	5716	6000	5936	5790	5461	7292	7350	7371	5582	7551	6375	7153	7210	7213
r30	5593	5567	5577	5573	5557	5524	4893	5300	5311	5032	5223	5324	5475	5363	5447	5307	5090	5293	5145	5154	5060	5186	5117	5404	5425	5405	5093	5290	5302	5334	5440	5495
r31	3510	3568	3566	3563	3486	3540	3447	3575	3561	3538	3546	3568	3555	3570	3580	3566	3565	3541	3409	3454	3551	3556	3464	3583	3581	3580	3464	3584	3541	3572	3469	3464
r32	6663	6616	6628	6607	6647	6715	6558	6600	6522	6491	6627	6641	6722	6632	6648	6571	6573	6696	6392	6483	6497	6350	6502	6666	6667	6673	6413	6562	6704	6588	6517	6473
r33	5826	5638	5636	5638	5810	5795	5690	5615	5630	5624	5795	5820	5665	5638	5828	5610	5824	5802	5822	5828	5621	5629	5826	5825	5825	5824	5605	5828	5809	5610	5628	5629
r34	7007	8397	7215	7109	7766	8458	6808	7125	7407	6459	7595	7655	8086	7882	7987	7157	6481	6636	7404	7389	7195	7034	8139	7282	7462	7425	5734	8070	6656	7579	7154	6613
r35	13054	13108	13045	13017	13259	13236	12968	13063	12965	12956	12775	12804	13258	13098	11910	13047	12665	13142	12542	12555	12726	13006	12622	12697	12708	12098	12805	13205	13148	13042	12942	12882
r36	12710	12741	12052	12024	12847	12778	12576	12650	12134	12668	12341	12504	12839	12710	10666	12613	12273	12731	11100	11092	12376	12659	10952	12310	12323	11723	12474	12487	12734	12589	12748	12520
r37	8440	8399	8377	8372	8381	8410	8016	8497	8385	8173	8322	8378	8462	8395	8442	8483	8398	8408	8435	8425	8393	8381	8430	8397	8398	8402	8394	8480	8420	8458	8416	8415
r38	6786	6809	6786	6782	6733	6769	6495	6789	6795	6705	6748	6788	6810	6806	6743	6789	6805	6775	6787	6785	6812	6800	6793	6805	6801	6806	6741	6774	6786	6776	6766	6758
r39	3192	3206	3192	3194	3170	3168	3132	3181	3194	3188	3178	3188	3191	3204	3186	3181	3190	3181	3196	3197	3197	3199	3200	3190	3192	3192	3188	3193	3180	3181	3193	3192
r40	5364	5295	5293	5296	5332	5322	5240	5367	5288	5280	5266	5277	5375	5289	5362	5370	5275	5333	5356	5357	5279	5292	5366	5294	5280	5279	5258	5350	5330	5334	5297	5268
r41	5283	5215	5214	5218	5279	5247	5192	5087	5201	5196	5183	5202	5298	5206	5302	5097	5195	5276	5255	5275	5202	5183	5272	5216	5202	5201	5181	5296	5274	5039	5219	5180
r42	12255	12312	11580	11569	12326	12292	11523	11896	11407	11486	11564	11732	12364	12317	12180	11864	10896	11322	11725	11755	11511	12138	11284	11545	11569	11537	11079	12107	11358	11753	11947	11865
r43	13620	13690	13001	12990	13654	13704	12901	13299	12819	12898	12956	13119	13783	13737	13593	13267	12299	12573	13086	13120	12926	13547	12646	12944	12968	12933	12484	13522	12771	13153	13356	13274
r44	10368	10337	10279	10175	11829	11404	11562	10297	10186	9940	10289	10420	11833	10291	11435	10243	10111	11706	10241	10355	10033	10123	10225	10133	10182	10164	11649	11533	11736	9924	11781	11765
r45	9942	9900	9853	9766	11397	10991	11150	9850	9755	9638	9917	10050	11379	9855	11009	9808	9754	11286	9813	9927	9603	9691	9797	9756	9815	9785	11229	11106	11302	9512	11358	11337
