SAMPLE	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
032i	Contig01	1	11008917	6284031	10037012	91.1717	68.7827	34.8	55.5
032i	Contig02	1	8645043	4746316	7879219	91.1415	66.6824	34.7	56.7
032i	Contig03	1	1697966	656420	1236175	72.8033	44.6989	34.9	46.4
032i	Contig04	1	796569	243055	472932	59.3711	32.3319	35.5	31.7
032i	Contig05	1	60573	5952	30329	50.0702	10.3774	35.2	7.7
032i	Contig06	1	6618557	3826836	6188020	93.495	70.1611	34.7	56.8
032i	Contig07	1	51574	4782	17568	34.0637	9.58421	35.6	9.3
032i	Contig08	1	5731635	3378418	5480921	95.6258	71.8128	34.7	57.1
032i	Contig09	1	4595668	2683815	4417823	96.1302	71.2313	34.7	58
032i	Contig10	1	1201610	949841	919151	76.4933	92.2755	35.3	40.6
032i	Contig11	1	170974	39393	114360	66.8874	24.9103	35.4	26.1
032i	Contig12	1	1464303	827198	1304641	89.0964	67.8532	34.8	55.2
032i	Contig13	1	4077659	2300121	3721451	91.2644	68.0209	34.7	55.9
032i	Contig14	1	55256	13110	42751	77.369	27.8524	34.9	27.9
032i	Contig15	1	72685	87118	43574	59.9491	146.264	34.4	0.279
032i	Contig16	1	77902	26913	28923	37.1274	40.4059	34.5	0.601
032i	Contig17	1	104405	29618	63104	60.4415	32.9202	35.4	10.3
032i	Contig18	1	133460	393025	104206	78.0803	345.455	33.8	2.08
032i	Contig19	1	96136	268082	84053	87.4313	341.392	34.5	0.361
032i	Contig20	1	73650	3286	24434	33.1758	5.04834	35	13
032i	Contig21	1	73030	7141	26570	36.3823	10.8811	35.3	11.9
032i	Contig22	1	52001	550	3709	7.13256	0.799946	35.7	7.33
032i	Contig23	1	70829	1771	14228	20.0878	2.18113	35.4	7.89
032i	Contig24	1	75409	6265	19678	26.095	6.66656	35.4	11.8
053i	Contig01	1	11008917	6800591	10026575	91.0769	75.1299	35.1	56.3
053i	Contig02	1	8645043	5240265	7865104	90.9782	74.2	35.1	57.4
053i	Contig03	1	1697966	661888	1234926	72.7297	45.6223	35.2	47.5
053i	Contig04	1	796569	225719	469395	58.9271	30.3487	35.7	31.3
053i	Contig05	1	60573	6083	27465	45.342	9.8677	35.3	11
053i	Contig06	1	6618557	4186463	6184446	93.441	77.2743	35.1	57.5
053i	Contig07	1	51574	4582	16972	32.9081	9.20842	35.8	8.93
053i	Contig08	1	5731635	3728794	5476166	95.5428	79.7132	35.1	57.6
053i	Contig09	1	4595668	3001723	4405505	95.8621	80.1343	35.1	58.4
053i	Contig10	1	1201610	1012394	918165	76.4112	99.4872	35.6	41.5
053i	Contig11	1	170974	37044	115331	67.4553	23.8405	35.6	25.4
053i	Contig12	1	1464303	850137	1302770	88.9686	70.228	35.1	55.8
053i	Contig13	1	4077659	2470133	3724419	91.3372	73.5689	35.1	56.7
053i	Contig14	1	55256	13415	42392	76.7193	29.1844	35.3	30.7
053i	Contig15	1	72685	78149	42794	58.876	131.663	34.8	0.315
053i	Contig16	1	77902	24705	26276	33.7296	37.5412	35	0.39
053i	Contig17	1	104405	37419	63944	61.2461	42.3712	35.7	10.5
053i	Contig18	1	133460	354594	101764	76.2506	311.622	34.2	2.06
053i	Contig19	1	96136	239727	82666	85.9886	305.791	34.9	0.359
053i	Contig20	1	73650	3434	25222	34.2458	5.29016	35.4	13.6
053i	Contig21	1	73030	6392	26091	35.7264	9.80868	35.7	12.5
053i	Contig22	1	52001	411	3288	6.32296	0.612392	36.1	8.07
053i	Contig23	1	70829	1708	14179	20.0186	2.12204	35.5	8.52
053i	Contig24	1	75409	5246	20157	26.7302	5.73333	35.7	11.8
10100	Contig01	1	11008917	3822995	10517100	95.5326	51.3953	39.1	52.3
10100	Contig02	1	8645043	2846109	8066691	93.31	48.8723	39	54.3
10100	Contig03	1	1697966	695365	1511652	89.0272	59.5526	39.1	38.6
10100	Contig04	1	796569	246287	585635	73.5197	44.2152	39.1	26.2
10100	Contig05	1	60573	5818	29238	48.269	13.4233	39	12.1
10100	Contig06	1	6618557	2270204	6487892	98.0258	50.9205	39	53.8
10100	Contig07	1	51574	5203	22895	44.3925	14.1328	39.1	23.1
10100	Contig08	1	5731635	1924847	5596683	97.6455	49.923	39	55.6
10100	Contig09	1	4595668	1532541	4457929	97.0029	49.5861	39	56.8
10100	Contig10	1	1201610	75021	247821	20.6241	8.26353	39.1	22.6
10100	Contig11	1	170974	54613	124423	72.7731	46.0502	39.1	31.5
10100	Contig12	1	1464303	484183	1383579	94.4872	48.6753	39	49.9
10100	Contig13	1	4077659	1366340	3912444	95.9483	49.6669	39	51.8
10100	Contig14	1	55256	8339	42999	77.8178	22.4018	39	31.7
10100	Contig15	1	72685	53611	39606	54.4899	109.146	38.7	2.01
10100	Contig16	1	77902	17590	13173	16.9097	33.2919	38.9	0.143
10100	Contig17	1	104405	3754	16289	15.6017	4.44843	39.1	6.66
10100	Contig18	1	133460	195763	86682	64.9498	214.673	38.6	1.56
10100	Contig19	1	96136	147676	69506	72.2997	228.47	38.8	0.766
10100	Contig20	1	73650	1924	17305	23.4963	3.74079	38.9	16.4
10100	Contig21	1	73030	10301	31362	42.944	20.4252	39.1	19
10100	Contig22	1	52001	229	3871	7.44409	0.407434	39.1	1.28
10100	Contig23	1	70829	1020	15485	21.8625	1.78694	39.2	3.23
10100	Contig24	1	75409	1591	15881	21.0598	2.34618	39.2	3.76
10880	Contig01	1	11008917	2016443	10654707	96.7825	26.8422	36.3	51.1
10880	Contig02	1	8645043	1598709	8425773	97.4636	27.1699	36.4	51.7
10880	Contig03	1	1697966	344784	1553410	91.4865	29.5618	36.5	35.7
10880	Contig04	1	796569	141410	647987	81.3473	25.4815	36.5	23.5
